CaseID,Prefix length,Ground truth,Predicted,Confidence,Levenshtein,Damerau,Jaccard,Ground truth times,Predicted times,RMSE,MAE
3087,2,§,§,64.0,1.0,1.0,1.0,256462,58683.91770372945,,197778.08229627056,197778.08229627056
3088,2,©,©,90.0,1.0,1.0,1.0,14,16833.33830337632,,16819.33830337632,16819.33830337632
3089,2,ª,§,62.0,0.0,0.0,0.0,355698,65036.77501271244,,290661.22498728754,290661.22498728754
3090,2,§,§,62.0,1.0,1.0,1.0,1800,43339.336853861576,,41539.336853861576,41539.336853861576
3091,2,§,§,63.0,1.0,1.0,1.0,511775,32601.646417404965,,479173.353582595,479173.353582595
3092,2,§,§,62.0,1.0,1.0,1.0,8322,32948.79949435062,,24626.79949435062,24626.79949435062
3093,2,§,§,63.0,1.0,1.0,1.0,63707,37602.52383092543,,26104.476169074573,26104.476169074573
3094,2,§,§,59.0,1.0,1.0,1.0,1200770,45729.11462460575,,1155040.8853753943,1155040.8853753943
3095,2,§,§,61.0,1.0,1.0,1.0,355,40948.33025048037,,40593.33025048037,40593.33025048037
3096,2,§,§,64.0,1.0,1.0,1.0,2073582,42983.597662429085,,2030598.402337571,2030598.402337571
3098,2,§,§,61.0,1.0,1.0,1.0,1834,38936.420087018545,,37102.420087018545,37102.420087018545
3099,2,ª,§,64.0,0.0,0.0,0.0,47,43198.30709490032,,43151.30709490032,43151.30709490032
3100,2,ª,§,61.0,0.0,0.0,0.0,6931,37005.55002171098,,30074.55002171098,30074.55002171098
3101,2,§,§,61.0,1.0,1.0,1.0,3060,50869.71439458873,,47809.71439458873,47809.71439458873
3102,2,ª,§,62.0,0.0,0.0,0.0,3359,54160.15420399927,,50801.15420399927,50801.15420399927
3104,2,§,§,63.0,1.0,1.0,1.0,603250,31943.20583398354,,571306.7941660165,571306.7941660165
3105,2,ª,§,63.0,0.0,0.0,0.0,182513,30050.36358173991,,152462.63641826008,152462.63641826008
3106,2,§,§,60.0,1.0,1.0,1.0,1468099,43605.148124384024,,1424493.851875616,1424493.851875616
3107,2,§,§,63.0,1.0,1.0,1.0,101552,32028.24356670122,,69523.75643329878,69523.75643329878
3109,2,§,§,63.0,1.0,1.0,1.0,9496,36140.464416423434,,26644.464416423434,26644.464416423434
3110,2,ª,§,70.0,0.0,0.0,0.0,497858,54427.05288140768,,443430.94711859233,443430.94711859233
3111,2,§,§,61.0,1.0,1.0,1.0,422936,36132.9814227949,,386803.0185772051,386803.0185772051
3114,2,©,§,60.0,0.0,0.0,0.0,432095,46187.45976983257,,385907.54023016745,385907.54023016745
3115,2,ª,§,61.0,0.0,0.0,0.0,1492131,47543.2518749849,,1444587.748125015,1444587.748125015
3116,2,§,§,62.0,1.0,1.0,1.0,15,38544.90332336127,,38529.90332336127,38529.90332336127
3117,2,§,§,62.0,1.0,1.0,1.0,265,41639.51560946488,,41374.51560946488,41374.51560946488
3119,2,¢,©,89.0,0.0,0.0,0.0,0,21424.906022358395,,21424.906022358395,21424.906022358395
3120,2,§,§,63.0,1.0,1.0,1.0,13,39861.40421207349,,39848.40421207349,39848.40421207349
3122,2,ª,§,61.0,0.0,0.0,0.0,491887,56387.61606884979,,435499.3839311502,435499.3839311502
3123,2,§,§,67.0,1.0,1.0,1.0,19877,42405.546618707034,,22528.546618707034,22528.546618707034
3124,2,§,§,62.0,1.0,1.0,1.0,6364,32805.07321773575,,26441.07321773575,26441.07321773575
3125,2,§,§,64.0,1.0,1.0,1.0,191661,43014.05134082492,,148646.94865917508,148646.94865917508
3127,2,§,§,65.0,1.0,1.0,1.0,1443966,36395.10933820075,,1407570.8906617993,1407570.8906617993
3129,2,§,§,62.0,1.0,1.0,1.0,1821440,39894.91897228124,,1781545.0810277187,1781545.0810277187
3130,2,©,©,90.0,1.0,1.0,1.0,283515,17535.974434005322,,265979.02556599467,265979.02556599467
